Nid,Title,Description,Summary,Subject(s)
200,Improving Indigenous completion rates in mainstream TAFE: an action research,"Indigenous engagement with vocational education and training (VET) has improved significantly, but successful Indigenous completion rates are lower nationally when compared to the overall population. In this report, based on an action research project,  Jo Balatti, Lyn Gargano, Martha Goldman, Gary Wood and Julie Woodlock examine intra-institutional factors at four Queensland TAFE institutes to better understand and take action on issues affecting Indigenous completion rates. At policy level, the authors conclude mainstream programs require examination at three levels - intellectual, cultural and social - to develop effective responses to facilitate successful Indigenous completion rates. At organisation level, the authors recommend examination of organisational culture for consistency of values and beliefs, and practices in terms of content, teaching, support, and collaboration.
",,Aboriginal Australians
248,Trapped in the Aboriginal reality show,"The very public debate about child abuse is like Baudrillard's 'war porn'. It has parodied the horrible suffering of Aboriginal people. The crisis in Aboriginal society is now a public spectacle, played out in a vast 'reality show' through the media, parliaments, public service and the Aboriginal world. This obscene and pornographic spectacle shifts attention away from everyday lived crisis that many Aboriginal people endure – or do not, dying as they do at excessive rates.
",,Aboriginal Australians
332,Rheumatic heart disease: all but forgotten in Australia except among Aboriginal and Torres Strait Islander peoples,"This bulletin describes the population patterns of acute rheumatic fever and rheumatic heart disease in Australia today using data obtained from regional registers and national databases.
",,Aboriginal Australians
383,Indigenous people in the Alice Springs town camps,"Will Sanders analyses 2001 Census data relating to Indigenous people living in the Alice Springs town camps as compared to three other population groups: Indigenous people in the rest of Alice Springs, non-Indigenous people in Alice Springs and Indigenous people living in the outlying communities of the region around Alice Springs. He identifies inadequacies in the 2001 Census data which may lead to possible improvements in census collection procedures for 2006.
",,Aboriginal Australians
418,Commonwealth expenditure on Indigenous affairs 1968-2004,"Identifiable Commonwealth expenditure in the area of Aboriginal and Torres Strait Islander affairs began with the establishment of the Office of Aboriginal Affairs soon after the landmark referendum in 1967. Over the past decade, John Gardiner-Garden finds, per-capita expenditure on Indingenous Australians (once adjusted to reflect their under-utlisation iof other programs) is not significantly higher than expenditure on non-Indigenous Australians.
",,Aboriginal Australians
443,Patterns of Indigenous job search activity,"Boyd Hunter and Matthew Gray provide the first ever baseline of data on the job search behaviour of Indigenous job seekers and how it compares to the job search of non-Indigenous job seekers, with clear differences between these groups. Indigenous Australians rely disproportionately on friends and relatives as a source of information about jobs, although their networks tend to have fewer employed members and therefore are of less value than those of non-Indigenous job seekers. Non-Indigenous job seekers are more likely to use more proactive search methods than are Indigenous job seekers.
",,Aboriginal Australians
458,"Experimental estimates of Aboriginal and Torres Strait Islander Australians, 2006","Australia's Aboriginal and Torres Strait Islander population has reached 517,000 or 2.5% of the total Australian population. The figures in this report are final estimates of the Indigenous population as at 30 June 2006.Australia's Aboriginal and Torres Strait Islander population has reached 517,000 or 2.5% of the total Australian population. These figures are final estimates of the Indigenous population as at 30 June 2006.
 Of Australia's Indigenous peoples, 90% (463,700 people) identify as being of Aboriginal origin, 6% (33,300) of Torres Strait Islander origin and 4% (20,100) as being of both Aboriginal and Torres Strait Islander origin.
 New South Wales (152,700) and Queensland (144,900) had the largest Indigenous populations while the Australian Capital Territory had the smallest (4,300). Indigenous people comprised 30% of the population of the Northern Territory.
 At 30 June 2006, around one-third of all Indigenous Australians lived in Major Cities of Australia (32% or 165,800 people). A further 21% (110,600 people) lived in Inner Regional Australia and 22% (113,300 people) in Outer Regional Australia. The remainder lived in Remote Australia (9% or 47,900 people) or Very Remote Australia (15% or 79,500 people).
 The Indigenous population has a younger age structure than the non-Indigenous population, with larger proportions of young people and smaller proportions of older people. The median age of the Indigenous population at 30 June 2006 was 21 years, compared to 37 years for the non-Indigenous population.
",,Aboriginal Australians
592,Data quality of Aboriginal and Torres Strait Islander identification,"This report examines the quality of identification of Aboriginal and Torres Strait Islander clients in seven data collections. The analyses focused firstly on the extent to which Indigenous status was missing or not stated in each data collection and, secondly (where possible) whether improvements in data quality had occurred over time. Thirdly, variations in data quality were explored in relation to particular groups of clients (e.g. age, sex, or service type) and by geographic location.
",,Aboriginal Australians
621,The environmental significance of the Indigenous estate,"The Indigenous estates makes up 20 per cent of the Australian land mass, covering vast areas of relatively intact land containing some of the highest conservation priority lands in Australia. Using a number of maps, the authors explore the geography of the Indigenous estate, its environmental significance, and some of the innovative approaches adopted by Indigenous landholders to protect the natural and cultural values of their land.
",,Aboriginal Australians
804,Indigenous use of wild resources,"There is currently a growing policy interest in the effects of the regulatory environment on the ability of Indigenous people to undertake customary harvesting of wild resources. Matthew Gray, Jon Altman and Natane Halasz have developed a methodology to estimate the economic benefits derived from the use of wild resources, which has been piloted with the Indigenous community of the Wallis Lake catchment.
",,Aboriginal Australians
