Term ID,Term
"82,566",21st Century work skills
"64,436",2G
"52,611",3G
"52,616",457 Visa
"82,481",5G telecommunications networks
"75,281",AB collection
"52,626",ABC reviews
"71,916",abnormal returns
"52,636",Aboriginal and Torres Strait Islander-owned tourism enterprises
"52,641",Aboriginal art
"20,170",Aboriginal Australians
"65,126",Aboriginal Australians economic participation
"22,064",Aboriginal Australians--Economic conditions
"20,830",Aboriginal Australians--Education
"21,471",Aboriginal Australians--Government relations
"20,171",Aboriginal Australians--Health
"88,301",Aboriginal Australians--Housing
"20,276","Aboriginal Australians--Legal status, laws, etc."
"84,361",Aboriginal Australians--Social life and customs
"93,501",Aboriginal Community-Controlled Organisations
"52,646",Aboriginal employment
"89,456",Aboriginal heritage
"52,656",Aboriginal legacy
"66,531",aboriginal recognition
"52,661",Aboriginal reconciliation
"89,421",Aboriginal stone sites
"52,666",Aboriginal tourism enterprises
"52,671",Aboriginal water use
"22,755",Abortion
"85,091",Absorption chiller
"52,691",Abuse
"52,696",academic freedom
"82,121",Academic integrity
"52,706",Academic performance
"52,711",academic publishing
"65,741",Academic Spring movement
"20,803",Academic writing
"78,976",Academics
"52,721",Access and Equity
"67,791",access to health
"52,726",Access to information
"52,731",access to justice
"52,741",Accessibility
"73,311",Accident compensation
"70,076",accidental deaths
"52,746",Accountability
"52,751",accountable government
"52,756",accounting
"67,976",accounting and reporting standards
"52,761",accounting education
"52,766",Accounting principles
"76,181",Accounting profession
"72,181",Accreditation (Courses)
"68,921",Achievement tests
"52,776",ACMA
"52,781",ACMA annual report series
"89,506",Acoustic engineering
"94,246",Acoustic properties
"85,311",Acquired Brain Injury
"52,786",ACT Election
"52,791",Action Research
"92,006",activation
"52,796",Active fund management
"89,576",active play
"65,396",Active transport
"89,571",active travel
"52,801",activism
"65,276",Activity-based funding
"52,806",ACTU
"52,811",Acute care
"64,921",acute coronary syndrome
"52,816",ad blocking
"52,821",Adam Goodes
"74,151",Adani coal mine
"52,086",adaptation
"84,676",Adaptation (Biology)
"89,076",adaptive reuse
"52,826",Addiction services
"22,682",Addicts
"52,836",ADHD
"88,741",adjusted net savings
"39,451",Administrative procedure
"90,286",Adolescent Family Violence
"52,841",Adolescents
"22,663",Adoption
"67,101",ADSL
"22,060",Adult education
"65,666",adult outcomes
"52,846",Adult skills
"67,316",Advance care directives
"33,373",Advance directives (Medical care)
"93,296",advance schedule notice
"83,406",Advanced manufacturing
"64,671",Advanced Persistent Threats
"52,851",Adverse events
"21,712",Advertising
"64,586",advocacy
"52,856",aesthetics
"67,596",Affordable Care Act
"51,931",affordable housing
"83,986",affordable housing assessment tool
"66,126",Afghani
"52,866",AFP
"68,241",African communities
"70,251",African students
"52,876",After-hours care
"52,881",After-tax performance
"52,891",Age
"21,956",Age and employment
"66,581",age composition
"95,756",Age discrimination
"52,886",Age pension
"21,179",Aged care
"52,901",Aged care nursing
"52,121",Aged care services
"20,192",Ageing
"71,376",Ageing in place
"52,911",Ageing population
"74,356",Ageing workforce
"66,841",agency
"72,481",agent-based modelling
"52,916",agglomeration
"22,568",Aggressiveness in children
"21,823",Agricultural industries
"21,473",Agricultural resources
"20,818",Agriculture
"52,931",Aid for Trade
"22,160",AIDS (Disease)
"66,176",air cleaners
"82,316",Air conditioning
"72,366",air conditioning control
"52,936",Air Power
"37,938",Air quality
"83,856",air tightness
"52,941",AIRAH
"52,186",Airbnb
"52,946",aircraft guidance systems
"33,341",Airlines
"88,851",airport security
"22,771",Airports
"67,951",albedo
"20,555",Alcohol
"74,436",Alcohol advertising
"75,291",alcohol and drug interventions
"52,956",alcohol consumption
"51,876",Alcohol harms
"80,041",Alcohol policy
"64,596",Alcohol spectrum disorders
"90,106",Alcohol-related crime
"22,731",Alcoholism
"21,448",Alcoholism and crime
"83,741",Algae building technology
"52,961",algorithmic trading
"52,966",algorithms
"52,971",ALIA
"52,976",Alice Solar Cities
"68,626",Alien
"21,049",Alien detention centers
"52,981",Allergies
"52,986",Alliance
"52,991",ALP
"52,996",ALP policy
"53,006",alternative dispute resolution
"53,011",alternative entry pathways
"67,841",Alternative fuels
"22,434",Alternative medicine
"70,766",alternative minimum tax
"93,036",alternative work
"53,016",altmetrics
"21,556",Alzheimer's disease
"64,546",amateur photographs
"53,026",Ambulance callouts
"21,662",Ambulance service
"53,031",Amendment
"89,131",amenity
"65,966",American Petroleum
"53,036",Amphetamines
"53,041",Amputee
"89,246",Analysis of Supply
"70,246",Andrew Peacock
"80,691",Anglican Church
"71,496",Anglo-Celtic cultural privilege
"66,116",animal cruelty
"69,356",animal culls
"53,046",Animal diseases
"96,481",Animal Justice Party policy
"65,861",animal management
"22,656",Animal populations
"20,491",Animal rights
"33,349",Animal welfare
"53,051",Animals
"21,079",Animated films
"53,061",Annual leave
"53,066",Annual wealth tax
"53,071",Antarctica
"83,661",antenatal care
"53,076",Anthropogenic climate change
"33,685",Anthropology
"67,241",Anti-corruption measures
"53,091",anti-discrimination
"53,086",Anti-Discrimination Commissioner
"68,546",anti-dumping
"53,096",Anti-Money laundering
"20,500",Anti-racism
"88,361",Anti-social behaviour
"53,101",Anti-terrorism
"53,111",Anti-vax
"53,116",antibiotics
"53,121",Antidepressents
"70,621",antihistamines
"96,766",Antimicrobial resistance (AMR)
"53,126",Anxiety
"21,458",ANZAC Day
"53,136",ANZRSAI Conference
"53,141",ANZTSR 2014 Conference
"53,151",ANZUS treaty
"89,286",apartment
"89,216",Apartments
"53,166",APO
"83,181",APO Forum 2017
"75,081",Apprenticeships
"83,696",appropriate care
"53,176",apps
"53,186",Aquaculture
"75,696",Aquaponics
"93,076",Aquifer
"21,322",Arab Spring (2010-)
"77,306",Arboriculture
"75,647",Archaeology
"76,731",Architectural anthropology
"22,442",Architecture
"20,167",Archives
"53,196",Arm's length principle
"20,223",Armed forces
"20,379",Armed Forces--Procurement
"53,201",Armed robbery
"53,206",armed violence
"20,342",Arms control
"53,211",Army
