noun_count,pron_count,verb_count,adj_count,adv_count,word_count,unique_word_count,word_density,sent_count,title_word_account,upper_case_count,stopword_count
56,0,13,17,4,90,69,7.571428571428571,5,10,3,35
29,0,6,11,1,47,36,6.479166666666667,5,6,0,34
19,0,4,6,0,29,24,6.8,2,16,0,11
37,0,7,4,0,48,27,6.469387755102041,3,8,0,25
27,0,3,8,2,40,32,8.24390243902439,3,6,0,24
37,0,7,13,3,60,40,6.409836065573771,4,6,0,37
91,0,8,24,0,123,47,7.282258064516129,12,10,1,85
38,0,6,3,3,50,36,6.8431372549019605,5,9,0,31
22,0,8,12,1,43,33,7.0227272727272725,3,7,0,29
25,0,6,8,1,40,33,6.804878048780488,3,5,0,28
23,0,10,12,1,46,38,7.191489361702128,3,11,0,25
51,0,17,6,0,74,54,7.586666666666667,6,8,2,60
54,0,7,11,0,72,34,6.904109589041096,5,14,0,50
41,0,8,14,1,64,45,6.923076923076923,5,4,0,35
37,0,8,8,0,53,41,6.7407407407407405,4,14,1,27
23,0,7,11,1,42,31,6.72093023255814,4,14,0,20
57,0,11,14,2,83,59,7.726190476190476,6,8,1,63
39,0,5,7,2,53,32,7.5,4,8,0,28
12,0,4,8,3,27,25,6.785714285714286,2,8,0,8
15,0,4,1,0,20,18,6.380952380952381,2,3,0,12
31,0,4,9,0,43,36,6.7272727272727275,7,12,0,30
24,0,6,10,1,41,31,6.833333333333333,4,12,0,25
42,0,4,5,0,51,32,6.923076923076923,4,6,1,27
74,0,11,17,3,104,83,6.809523809523809,7,11,0,41
35,0,15,13,3,66,45,7.208955223880597,5,12,0,45
19,0,1,3,0,23,20,6.666666666666667,2,4,0,15
62,0,22,32,8,123,86,7.620967741935484,10,9,1,73
26,0,12,11,2,51,45,7.230769230769231,4,8,0,45
50,0,16,13,5,83,62,8.214285714285714,4,17,0,64
58,0,10,13,4,85,43,6.325581395348837,4,22,6,66
70,0,7,10,3,90,50,7.373626373626373,5,18,0,60
70,0,13,29,4,116,83,7.333333333333333,6,5,0,53
30,0,9,10,3,52,41,7.60377358490566,4,10,0,36
37,0,4,8,0,49,41,7.22,3,17,0,32
108,0,16,54,8,186,118,7.197860962566845,14,5,0,133
111,1,28,37,7,184,121,7.140540540540541,15,17,3,140
48,0,6,14,2,70,37,8.084507042253522,6,9,0,31
29,0,13,11,1,54,36,6.945454545454545,3,11,1,29
30,0,4,6,0,40,34,6.804878048780488,3,14,0,27
53,0,12,15,6,86,66,7.333333333333333,6,12,0,81
25,0,6,9,0,40,35,7.0,2,9,0,22
78,0,14,21,1,114,77,7.626086956521739,9,9,2,79
30,0,8,5,1,44,38,7.177777777777778,4,11,0,33
142,1,51,48,17,253,181,6.362204724409449,17,6,8,266
26,0,5,5,0,36,28,6.243243243243243,3,8,0,24
23,0,4,12,0,39,32,7.15,3,7,0,33
85,0,25,23,7,140,72,7.0638297872340425,11,14,0,108
